timestamp,panchet_discharge_cusecs,maithon_discharge_cusecs,ghatal_water_level_m
2021-08-15T00:00:00Z,15000,10000,4.5
2021-08-15T01:00:00Z,15000,10000,4.5
2021-08-15T02:00:00Z,15000,10000,4.5
2021-08-15T03:00:00Z,15000,10000,4.5
2021-08-15T04:00:00Z,15000,10000,4.5
2021-08-15T05:00:00Z,15000,10000,4.5
2021-08-15T06:00:00Z,15000,10000,4.5
2021-08-15T07:00:00Z,15000,10000,4.5
2021-08-15T08:00:00Z,15000,10000,4.5
2021-08-15T09:00:00Z,15000,10000,4.5
2021-08-15T10:00:00Z,15000,10000,4.5
2021-08-15T11:00:00Z,15000,10000,4.5
2021-08-15T12:00:00Z,15000,10000,4.5
2021-08-15T13:00:00Z,15000,10000,4.5
2021-08-15T14:00:00Z,15000,10000,4.5
2021-08-15T15:00:00Z,15000,10000,4.5
2021-08-15T16:00:00Z,15000,10000,4.5
2021-08-15T17:00:00Z,15000,10000,4.5
2021-08-15T18:00:00Z,15000,10000,4.5
2021-08-15T19:00:00Z,15000,10000,4.5
2021-08-15T20:00:00Z,15000,10000,4.5
2021-08-15T21:00:00Z,15000,10000,4.5
2021-08-15T22:00:00Z,15000,10000,4.5
2021-08-15T23:00:00Z,15000,10000,4.5
2021-08-16T00:00:00Z,15000,10000,4.5
2021-08-16T01:00:00Z,15000,10000,4.5
2021-08-16T02:00:00Z,15000,10000,4.5
2021-08-16T03:00:00Z,15000,10000,4.5
2021-08-16T04:00:00Z,15000,10000,4.5
2021-08-16T05:00:00Z,15000,10000,4.5
2021-08-16T06:00:00Z,15000,10000,4.5
2021-08-16T07:00:00Z,15000,10000,4.5
2021-08-16T08:00:00Z,15000,10000,4.5
2021-08-16T09:00:00Z,15000,10000,4.5
2021-08-16T10:00:00Z,15000,10000,4.5
2021-08-16T11:00:00Z,15000,10000,4.5
2021-08-16T12:00:00Z,109000,72000,4.5
2021-08-16T13:00:00Z,111000,73000,4.5
2021-08-16T14:00:00Z,113000,74000,4.5
2021-08-16T15:00:00Z,115000,75000,4.5
2021-08-16T16:00:00Z,117000,76000,4.5
2021-08-16T17:00:00Z,119000,77000,4.5
2021-08-16T18:00:00Z,121000,78000,5.2
2021-08-16T19:00:00Z,123000,79000,5.35
2021-08-16T20:00:00Z,125000,80000,5.5
2021-08-16T21:00:00Z,127000,81000,5.65
2021-08-16T22:00:00Z,129000,82000,5.8
2021-08-16T23:00:00Z,131000,83000,5.95
2021-08-17T00:00:00Z,85000,60000,6.1
2021-08-17T01:00:00Z,87000,61000,6.25
2021-08-17T02:00:00Z,89000,62000,6.4
2021-08-17T03:00:00Z,91000,63000,6.55
2021-08-17T04:00:00Z,93000,64000,6.7
2021-08-17T05:00:00Z,95000,65000,6.85
2021-08-17T06:00:00Z,97000,66000,7.0
2021-08-17T07:00:00Z,99000,67000,7.15
2021-08-17T08:00:00Z,101000,68000,7.3
2021-08-17T09:00:00Z,103000,69000,7.45
2021-08-17T10:00:00Z,105000,70000,7.6
2021-08-17T11:00:00Z,107000,71000,7.75
2021-08-17T12:00:00Z,109000,72000,7.9
2021-08-17T13:00:00Z,111000,73000,8.05
2021-08-17T14:00:00Z,113000,74000,8.2
2021-08-17T15:00:00Z,115000,75000,8.35
2021-08-17T16:00:00Z,117000,76000,8.5
2021-08-17T17:00:00Z,119000,77000,8.65
2021-08-17T18:00:00Z,121000,78000,8.8
2021-08-17T19:00:00Z,123000,79000,8.95
2021-08-17T20:00:00Z,125000,80000,9.1
2021-08-17T21:00:00Z,127000,81000,9.25
2021-08-17T22:00:00Z,129000,82000,9.4
2021-08-17T23:00:00Z,131000,83000,9.55
